,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10250,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19411943.0,19411943.0,False,,1,,,,2023-06-25T20:16:00.000Z,30496.76626718073,12747885198.697426,-3.3017,0.19859067,-0.28951763,15.01373756,13.73780739,9.91842617,13.22435427,592001488462.8351,49.877,640432091610.8,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
1,1027,Ethereum,ETH,ethereum,7034,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120191632.87882815,120191632.87882815,True,,2,,,,2023-06-25T20:16:00.000Z,1899.053280315737,6821600150.002864,27.5681,0.36201401,0.7615416,9.75929599,3.32926831,3.88239701,11.60042335,228250314685.0434,19.2304,228250314685.04,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
2,825,Tether,USDT,tether,55844,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83212018333.0169,85733529362.30705,True,,3,,,,2023-06-25T20:16:00.000Z,1.0004564033459127,21652954515.313538,-0.127,0.00630191,-0.02047094,0.05804762,0.01322876,0.027069,0.02063363,83249996576.60425,7.0118,85772658431.96,,2023-06-25T20:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-06-25 20:18:10.117346
3,1839,BNB,BNB,bnb,1468,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token']",,155852152.73435998,155852152.73435998,False,,4,,,,2023-06-25T20:16:00.000Z,238.45224621205898,423290544.27032846,-24.5139,0.1536778,0.88452799,-2.68141286,-22.43051957,-27.22963583,-22.28660565,37163295896.49303,3.1311,37163295896.49,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
4,3408,USD Coin,USDC,usd-coin,13092,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28472030219.58967,28472030219.58967,False,,5,,,,2023-06-25T20:16:00.000Z,1.000076029691603,2807446008.5715575,2.0082,0.00434503,-0.00712621,-0.01433529,0.00537208,0.00685457,0.0412124,28474194939.26657,2.3983,28474194939.27,,2023-06-25T20:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-06-25 20:18:10.117346
5,52,XRP,XRP,xrp,969,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'sec-security-token']",100000000000.0,52254289650.0,99988655562.0,False,,6,,,,2023-06-25T20:16:00.000Z,0.4908323997294259,683308979.0778581,-6.9604,0.23845205,0.85417849,-0.72900173,5.12490869,9.84470216,4.68502347,25648098385.066,2.1606,49083239972.94,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
6,2010,Cardano,ADA,cardano,842,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token']",45000000000.0,34935473695.305,35921478500.889,False,,7,,,,2023-06-25T20:16:00.000Z,0.29390636561941264,228932858.1291364,5.5688,0.05216893,1.08605912,10.29284659,-19.43796569,-23.71595888,-13.74473942,10267758104.979685,0.865,13225786452.87,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
7,74,Dogecoin,DOGE,dogecoin,731,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139916566383.70526,139916566383.70526,True,,8,,,,2023-06-25T20:16:00.000Z,0.06713511929853634,193657458.9653562,-32.532,0.28711098,0.67903305,7.76878351,-5.62396023,-12.48640867,-7.06450006,9393315376.011633,0.7914,9393315376.01,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
8,5426,Solana,SOL,solana,475,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'sec-security-token']",,399787301.1129958,550828237.5844004,True,,9,,,,2023-06-25T20:16:00.000Z,17.01308950887841,254848573.0737608,-12.9554,-0.19456464,2.13283598,8.35606662,-12.73337941,-18.76828797,-13.64955959,6801617138.348322,0.5731,9371290110.04,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
9,1958,TRON,TRX,tron,773,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token']",,89976221274.75311,89976237404.73395,True,,10,71659659264.0,5252448492.967889,,2023-06-25T20:16:00.000Z,0.07329714579883002,144387268.8817335,-7.1083,-0.11605679,1.29095932,4.400721,-4.13355766,13.51912432,15.91307131,6595000209.203371,0.5557,6595001391.48,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
10,2,Litecoin,LTC,litecoin,927,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73225176.72743528,84000000.0,False,,11,,,,2023-06-25T20:16:00.000Z,87.82295885576146,499605721.1816228,-28.171,-0.1768818,-1.34241176,13.00738051,-0.07282955,2.06112247,-0.92127278,6430851682.939409,0.5418,7377128543.88,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
11,3890,Polygon,MATIC,polygon,747,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token']",10000000000.0,9289469069.28493,10000000000.0,False,,12,,,,2023-06-25T20:16:00.000Z,0.6666975626242173,283094410.8454142,9.9575,0.18909792,0.76286311,9.41565392,-27.68314918,-30.98249119,-35.36646689,6193266386.565319,0.5218,6666975626.24,,2023-06-25T20:16:00.000Z,,,,,,2023-06-25 20:18:10.117346
